name,category,base,overlay,tags,master_svg,theme_svg_pattern,png_pattern
rewind,media,arrow_left,left,,svg/master/rewind.svg,svg/{theme}/rewind.svg,png/{theme}/{size}/rewind.png
fast_forward,media,arrow_right,right,,svg/master/fast_forward.svg,svg/{theme}/fast_forward.svg,png/{theme}/{size}/fast_forward.png
eject,media,arrow_up,up,,svg/master/eject.svg,svg/{theme}/eject.svg,png/{theme}/{size}/eject.png
media_repeat,media,refresh,,,svg/master/media_repeat.svg,svg/{theme}/media_repeat.svg,png/{theme}/{size}/media_repeat.png
media_shuffle,media,refresh,random,,svg/master/media_shuffle.svg,svg/{theme}/media_shuffle.svg,png/{theme}/{size}/media_shuffle.png
volume,media,speaker,,,svg/master/volume.svg,svg/{theme}/volume.svg,png/{theme}/{size}/volume.png
volume_up,media,speaker,up,,svg/master/volume_up.svg,svg/{theme}/volume_up.svg,png/{theme}/{size}/volume_up.png
volume_down,media,speaker,down,,svg/master/volume_down.svg,svg/{theme}/volume_down.svg,png/{theme}/{size}/volume_down.png
volume_mute,media,speaker,slash,,svg/master/volume_mute.svg,svg/{theme}/volume_mute.svg,png/{theme}/{size}/volume_mute.png
microphone,media,microphone,,,svg/master/microphone.svg,svg/{theme}/microphone.svg,png/{theme}/{size}/microphone.png
microphone_mute,media,microphone,slash,,svg/master/microphone_mute.svg,svg/{theme}/microphone_mute.svg,png/{theme}/{size}/microphone_mute.png
camera,media,camera,,,svg/master/camera.svg,svg/{theme}/camera.svg,png/{theme}/{size}/camera.png
camera_add,media,camera,add,,svg/master/camera_add.svg,svg/{theme}/camera_add.svg,png/{theme}/{size}/camera_add.png
camera_off,media,camera,slash,,svg/master/camera_off.svg,svg/{theme}/camera_off.svg,png/{theme}/{size}/camera_off.png
image,media,image,,,svg/master/image.svg,svg/{theme}/image.svg,png/{theme}/{size}/image.png
image_add,media,image,add,,svg/master/image_add.svg,svg/{theme}/image_add.svg,png/{theme}/{size}/image_add.png
image_edit,media,image,edit,,svg/master/image_edit.svg,svg/{theme}/image_edit.svg,png/{theme}/{size}/image_edit.png
image_remove,media,image,remove,,svg/master/image_remove.svg,svg/{theme}/image_remove.svg,png/{theme}/{size}/image_remove.png
image_search,media,image,search,,svg/master/image_search.svg,svg/{theme}/image_search.svg,png/{theme}/{size}/image_search.png
video,media,video,,,svg/master/video.svg,svg/{theme}/video.svg,png/{theme}/{size}/video.png
video_add,media,video,add,,svg/master/video_add.svg,svg/{theme}/video_add.svg,png/{theme}/{size}/video_add.png
video_off,media,video,slash,,svg/master/video_off.svg,svg/{theme}/video_off.svg,png/{theme}/{size}/video_off.png
audio,media,audio,,,svg/master/audio.svg,svg/{theme}/audio.svg,png/{theme}/{size}/audio.png
audio_add,media,audio,add,,svg/master/audio_add.svg,svg/{theme}/audio_add.svg,png/{theme}/{size}/audio_add.png
playlist,media,list,play,,svg/master/playlist.svg,svg/{theme}/playlist.svg,png/{theme}/{size}/playlist.png
subtitles,media,text,info,,svg/master/subtitles.svg,svg/{theme}/subtitles.svg,png/{theme}/{size}/subtitles.png
captions,media,text,info,,svg/master/captions.svg,svg/{theme}/captions.svg,png/{theme}/{size}/captions.png
slideshow,media,image,play,,svg/master/slideshow.svg,svg/{theme}/slideshow.svg,png/{theme}/{size}/slideshow.png
film,media,video,play,,svg/master/film.svg,svg/{theme}/film.svg,png/{theme}/{size}/film.png
snapshot,media,camera,check,,svg/master/snapshot.svg,svg/{theme}/snapshot.svg,png/{theme}/{size}/snapshot.png
gallery,media,image,grid,,svg/master/gallery.svg,svg/{theme}/gallery.svg,png/{theme}/{size}/gallery.png
crop_image,media,crop,,,svg/master/crop_image.svg,svg/{theme}/crop_image.svg,png/{theme}/{size}/crop_image.png
rotate_left,media,refresh,left,,svg/master/rotate_left.svg,svg/{theme}/rotate_left.svg,png/{theme}/{size}/rotate_left.png
rotate_right,media,refresh,right,,svg/master/rotate_right.svg,svg/{theme}/rotate_right.svg,png/{theme}/{size}/rotate_right.png
flip_horizontal,media,arrow_left,right,,svg/master/flip_horizontal.svg,svg/{theme}/flip_horizontal.svg,png/{theme}/{size}/flip_horizontal.png
flip_vertical,media,arrow_up,down,,svg/master/flip_vertical.svg,svg/{theme}/flip_vertical.svg,png/{theme}/{size}/flip_vertical.png
database,data,database,,database;,svg/master/database.svg,svg/{theme}/database.svg,png/{theme}/{size}/database.png
database_add,data,database,add,database;add,svg/master/database_add.svg,svg/{theme}/database_add.svg,png/{theme}/{size}/database_add.png
database_remove,data,database,remove,database;remove,svg/master/database_remove.svg,svg/{theme}/database_remove.svg,png/{theme}/{size}/database_remove.png
database_delete,data,database,delete,database;delete,svg/master/database_delete.svg,svg/{theme}/database_delete.svg,png/{theme}/{size}/database_delete.png
database_edit,data,database,edit,database;edit,svg/master/database_edit.svg,svg/{theme}/database_edit.svg,png/{theme}/{size}/database_edit.png
database_search,data,database,search,database;search,svg/master/database_search.svg,svg/{theme}/database_search.svg,png/{theme}/{size}/database_search.png
database_check,data,database,check,database;check,svg/master/database_check.svg,svg/{theme}/database_check.svg,png/{theme}/{size}/database_check.png
database_warning,data,database,warning,database;warning,svg/master/database_warning.svg,svg/{theme}/database_warning.svg,png/{theme}/{size}/database_warning.png
database_info,data,database,info,database;info,svg/master/database_info.svg,svg/{theme}/database_info.svg,png/{theme}/{size}/database_info.png
database_lock,data,database,lock,database;lock,svg/master/database_lock.svg,svg/{theme}/database_lock.svg,png/{theme}/{size}/database_lock.png
database_unlock,data,database,unlock,database;unlock,svg/master/database_unlock.svg,svg/{theme}/database_unlock.svg,png/{theme}/{size}/database_unlock.png
database_upload,data,database,upload,database;upload,svg/master/database_upload.svg,svg/{theme}/database_upload.svg,png/{theme}/{size}/database_upload.png
database_download,data,database,download,database;download,svg/master/database_download.svg,svg/{theme}/database_download.svg,png/{theme}/{size}/database_download.png
database_sync,data,database,sync,database;sync,svg/master/database_sync.svg,svg/{theme}/database_sync.svg,png/{theme}/{size}/database_sync.png
database_share,data,database,share,database;share,svg/master/database_share.svg,svg/{theme}/database_share.svg,png/{theme}/{size}/database_share.png
database_settings,data,database,gear,database;settings,svg/master/database_settings.svg,svg/{theme}/database_settings.svg,png/{theme}/{size}/database_settings.png
server,data,server,,server;,svg/master/server.svg,svg/{theme}/server.svg,png/{theme}/{size}/server.png
server_add,data,server,add,server;add,svg/master/server_add.svg,svg/{theme}/server_add.svg,png/{theme}/{size}/server_add.png
server_remove,data,server,remove,server;remove,svg/master/server_remove.svg,svg/{theme}/server_remove.svg,png/{theme}/{size}/server_remove.png
server_delete,data,server,delete,server;delete,svg/master/server_delete.svg,svg/{theme}/server_delete.svg,png/{theme}/{size}/server_delete.png
server_edit,data,server,edit,server;edit,svg/master/server_edit.svg,svg/{theme}/server_edit.svg,png/{theme}/{size}/server_edit.png
server_search,data,server,search,server;search,svg/master/server_search.svg,svg/{theme}/server_search.svg,png/{theme}/{size}/server_search.png
server_check,data,server,check,server;check,svg/master/server_check.svg,svg/{theme}/server_check.svg,png/{theme}/{size}/server_check.png
server_warning,data,server,warning,server;warning,svg/master/server_warning.svg,svg/{theme}/server_warning.svg,png/{theme}/{size}/server_warning.png
server_info,data,server,info,server;info,svg/master/server_info.svg,svg/{theme}/server_info.svg,png/{theme}/{size}/server_info.png
server_lock,data,server,lock,server;lock,svg/master/server_lock.svg,svg/{theme}/server_lock.svg,png/{theme}/{size}/server_lock.png
server_unlock,data,server,unlock,server;unlock,svg/master/server_unlock.svg,svg/{theme}/server_unlock.svg,png/{theme}/{size}/server_unlock.png
server_upload,data,server,upload,server;upload,svg/master/server_upload.svg,svg/{theme}/server_upload.svg,png/{theme}/{size}/server_upload.png
server_download,data,server,download,server;download,svg/master/server_download.svg,svg/{theme}/server_download.svg,png/{theme}/{size}/server_download.png
server_sync,data,server,sync,server;sync,svg/master/server_sync.svg,svg/{theme}/server_sync.svg,png/{theme}/{size}/server_sync.png
server_share,data,server,share,server;share,svg/master/server_share.svg,svg/{theme}/server_share.svg,png/{theme}/{size}/server_share.png
server_settings,data,server,gear,server;settings,svg/master/server_settings.svg,svg/{theme}/server_settings.svg,png/{theme}/{size}/server_settings.png
cloud,cloud,cloud,,cloud;,svg/master/cloud.svg,svg/{theme}/cloud.svg,png/{theme}/{size}/cloud.png
cloud_add,cloud,cloud,add,cloud;add,svg/master/cloud_add.svg,svg/{theme}/cloud_add.svg,png/{theme}/{size}/cloud_add.png
cloud_remove,cloud,cloud,remove,cloud;remove,svg/master/cloud_remove.svg,svg/{theme}/cloud_remove.svg,png/{theme}/{size}/cloud_remove.png
cloud_delete,cloud,cloud,delete,cloud;delete,svg/master/cloud_delete.svg,svg/{theme}/cloud_delete.svg,png/{theme}/{size}/cloud_delete.png
cloud_edit,cloud,cloud,edit,cloud;edit,svg/master/cloud_edit.svg,svg/{theme}/cloud_edit.svg,png/{theme}/{size}/cloud_edit.png
